date,topic,summary
"2026-04-04","feat","feat(docs): add documentation structure and icon component examples"
"2026-04-04","feat","feat(settings): convert static color previews into native color picker inputs"
"2026-04-04","feat","feat(settings): add canvas background color setting and general purpose UI icons"
"2026-04-04","perf","perf(vbe): implement requestAnimationFrame batching for entity drag and resiz..."
"2026-04-04","fix","fix: allow entity header dragging by only stopping mousedown propagation when..."
"2026-04-04","fix","fix: prevent full entity recreate on name change preserving node shape/color ..."
"2026-04-04","feat","feat: added grid panning/zooming alignment and resize-snapping to the grid"
"2026-04-04","fix","fix: allow horizontal scrolling in entity content"
"2026-04-04","style","style(index.css): format CSS for improved readability and consistency"
"2026-04-04","feat","feat(settings): enhance grid settings with primary/secondary colors and updat..."
"2026-04-03","fix","fix(settings): fix expanding tool items in the visual editor"
"2026-04-03","fix","fix(settings): fix missing form fields rendering due to incorrect schema shap..."
"2026-04-03","fix","fix(settings): fix missing closing bracket in icon-library.ts"
"2026-04-03","feat","feat(settings): introduce icon library and shape/icon dropdowns for toolbox v..."
"2026-04-03","feat","feat(workflow): enable redux persistence for settings and add headless React ..."
"2026-04-03","fix","fix(accordion): remove unnecessary semicolons in type imports"
"2026-04-03","feat","feat(settings): integrate accordion for shapes editor and add backup/restore ..."
"2026-04-03","feat","feat: add Redux state types and actions for schema management"
"2026-04-03","fix","fix: improve layout and styling for tab panels and settings page components"
"2026-04-03","feat","feat: add shape repository to settings and link visual editor shapes"
"2026-04-03","fix","fix(schema-panel): improve contrast for relation links and tree connectors"
"2026-04-03","fix","fix(settings): fix Visual Editor y-scrolling bounds and ignore generated form..."
"2026-04-03","chore","chore(submodule): update formular-dev to latest commit"
"2026-04-02","fix","fix: remove outdated task details from session handoff document"
"2026-04-02","fix","fix: update session handoff document to reflect current implementation state ..."
"2026-04-02","fix","fix: update session handoff document with styling fixes, TypeScript declarati..."
"2026-04-02","fix","fix: update toolbox item colors for improved visibility and consistency refac..."
"2026-04-02","fix","fix: add missing stylesheet link for proper styling in canvas"
"2026-04-02","feat","feat: add settings button to canvas toolbar with configuration handling"
"2026-04-02","refactor","refactor: convert event handler methods to arrow functions for consistency"
"2026-04-02","fix","fix: prevent height reset on user-resized modal to maintain custom dimensions"
"2026-04-02","refactor","refactor: remove unused commands, services, and types"
"2026-04-02","fix","fix: ensure select element has consistent height in dropdown styles"
"2026-04-02","chore","chore: update subproject commit reference in formular-dev package"
"2026-04-02","feat","feat: enhance button and card components with CSS variables for theming and c..."
"2026-04-02","Refactor","Refactor styles across various components to utilize CSS variables for improv..."
"2026-04-02","feat","feat: implement design system tokens and update UI components for consistency"
"2026-04-02","feat","feat: add check-imports script to identify bare module imports in TypeScript ..."
"2026-04-01","fix","fix: update import statements to include .js extension for consistency"
"2026-04-01","fix","fix: update import paths to include .js extension for consistency"
"2026-04-01","refactor","refactor(patch-imports): add console logs for process start and completion"
"2026-04-01","feat","feat(patch-imports): add script to patch TypeScript imports to JavaScript"
"2026-04-01","refactor","refactor: replace formular atom creation functions with new component structure"
"2026-04-01","feat","feat(dropdown): implement AtpDropdown component with styling and UI logic"
"2026-04-01","feat","feat(date-picker): add ATP date picker exports and retain legacy exports"
"2026-04-01","refactor","refactor(modal): replace VbsModal with AtpModal and update related components"
"2026-04-01","feat","feat(structura): add entity manager exports and update request method quotes"
"2026-04-01","fix","fix(formular-dev): mark subproject as dirty to indicate uncommitted changes"
"2026-04-01","Add","Add navigation bar and update demo pages with dynamic navigation"
"2026-04-01","feat","feat(prime): add stepper and schema canvas to header navigation"
"2026-04-01","feat","feat(prime): generate edges connecting node entities on canvas"
"2026-04-01","feat","feat(structura): create dom adapter between kernel and w3c web components"
"2026-04-01","feat","feat(prime): create W3C agnotic schema canvas & node components"
"2026-04-01","chore","chore: update index.ts with binary file changes"
"2026-04-01","feat","feat: add ATP schema canvas and node web components with initial rendering an..."
"2026-04-01","feat","feat: initialize atomos-structura package with TypeScript configuration and c..."
"2026-04-01","chore","chore(ast): fix typescript typing in prisma adapter and created test script"
"2026-04-01","feat","feat: add generic W3C tabs web component and document canvas settings archite..."
"2026-04-01","docs","docs: add web components w3c standards documentation"
"2026-03-31","feat","feat: integrate DATA_TYPES and COMPONENT_TYPES into property settings modal o..."
"2026-03-31","feat","feat: add schema panel and related components"
"2026-03-31","feat","feat: enhance entity management with metadata updates and toolbox integration"
"2026-03-30","feat","feat(formular): adjust padding for color input and enhance entity metadata ha..."
"2026-03-30","feat","feat: enhance entity management with metadata support"
"2026-03-30","feat","feat(dag): implement DAG observer and React hook integration for real-time up..."
"2026-03-30","feat","feat: add new shape renderers and DAG management features"
"2026-03-30","feat","feat(modal): enhance entity and property settings modals with dynamic form ha..."
"2026-03-30","feat","feat(link): improve link label generation with cardinality display"
"2026-03-30","feat","feat(entity): enhance drag behavior with cursor styles and improve label hand..."
"2026-03-30","feat","feat(link): enhance link management with reconnect functionality and persiste..."
"2026-03-30","feat","feat(link): add updateLinkEndpoints functionality for link reconnections"
"2026-03-30","feat","feat(link): enhance link properties management with cardinality and property ..."
"2026-03-30","feat","feat(modal): enhance VbsModal with lazy initialization and improved cleanup"
"2026-03-30","feat","feat: Update formular-dev submodule to latest commit for improved functionality"
"2026-03-30","feat","feat: Add Redux DevTools integration and UI state management for canvas view"
"2026-03-30","feat","feat: Add formular-dev submodule for enhanced form handling capabilities"
"2026-03-27","feat","feat: Add comprehensive documentation for canvas persistence system, detailin..."
"2026-03-27","feat","feat: Enhance link and entity deletion handling with detailed logging and cal..."
"2026-03-27","feat","feat: Add Redux storage provider and enhance link restoration functionality"
"2026-03-27","feat","feat: Implement persistence layer for canvas state management"
"2026-03-27","Refactor","Refactor code structure for improved readability and maintainability"
"2026-03-26","feat","feat(storage): add in-memory and local storage providers"
"2026-03-26","feat","feat(modal): refactor modal imports to use index.js for better organization"
"2026-03-26","feat","feat(modal): implement entity and link settings modals with dynamic content"
"2026-03-26","feat","feat: integrate formular.dev for enhanced form handling"
"2026-03-26","feat","feat(modal): introduce modal component with animations and stacking"
"2026-03-25","feat","feat: enhance editable label and demo entity features with improved content h..."
"2026-03-25","feat","feat: restructure app state management and entity handling"
"2026-03-25","feat","feat: add createEntity and createProperty factories with schema handling"
"2026-03-25","feat","feat: implement link drawing and finalization features"
"2026-03-24","feat","feat: Add demo entity creation and interactive entity demo functionality"
"2026-03-24","feat","feat: Enhance workspace manager with link creation and coordinate conversion ..."
"2026-03-24","feat","feat: Add interactive entity demo with drag, resize, and link creation capabi..."
"2026-03-24","delete","delete: Remove interactive entity demo implementation"
"2026-03-24","feat","feat: Implement interactive entity management with drag and resize capabilities"
"2026-03-24","add","add .gitignore to exclude node_modules directory"
